,perc_read,FASTREAD,NBM,KNN,SVM,DT
0,0,1.53,4.58,1.53,17.56,12.98
1,1,2.29,14.5,3.82,32.06,29.01
2,2,15.27,17.56,6.87,45.8,44.27
3,3,35.88,17.56,8.4,51.91,51.91
4,4,41.98,17.56,9.16,54.96,51.91
5,5,41.98,21.37,9.16,61.83,51.91
6,6,47.33,22.9,9.92,65.65,52.67
7,7,51.91,25.19,9.92,66.41,52.67
8,8,53.44,28.24,10.69,68.7,52.67
9,9,57.25,29.77,10.69,69.47,52.67
10,10,58.02,31.3,12.21,72.52,54.2
11,11,58.78,35.88,12.21,74.81,54.96
12,12,60.31,40.46,12.21,75.57,54.96
13,13,61.83,41.22,12.21,76.34,54.96
14,14,62.6,41.22,12.21,77.1,55.73
15,15,63.36,41.22,12.98,77.86,55.73
16,16,64.12,42.75,12.98,79.39,55.73
17,17,65.65,43.51,12.98,80.92,55.73
18,18,68.7,43.51,12.98,80.92,55.73
19,19,68.7,43.51,14.5,80.92,55.73
20,20,69.47,43.51,15.27,80.92,55.73
21,21,69.47,46.56,15.27,80.92,55.73
22,22,71.76,50.38,16.79,80.92,55.73
23,23,71.76,53.44,16.79,80.92,55.73
24,24,72.52,53.44,18.32,80.92,56.49
25,25,74.05,54.2,19.85,80.92,57.25
26,26,77.1,54.96,22.14,82.44,58.02
27,27,79.39,55.73,24.43,83.21,60.31
28,28,80.15,56.49,25.19,85.5,61.07
29,29,80.92,57.25,25.95,85.5,61.07
30,30,83.21,58.78,27.48,85.5,61.83
31,31,83.97,60.31,28.24,85.5,61.83
32,32,83.97,61.07,28.24,87.02,61.83
33,33,84.73,63.36,29.77,87.79,62.6
34,34,84.73,64.89,32.06,87.79,64.12
35,35,84.73,65.65,32.82,89.31,64.12
36,36,84.73,66.41,35.88,89.31,64.89
37,37,87.02,68.7,36.64,89.31,65.65
38,38,87.02,70.99,38.17,89.31,66.41
39,39,88.55,71.76,38.93,89.31,67.94
40,40,90.08,73.28,39.69,89.31,68.7
41,41,90.84,77.1,41.22,90.08,69.47
42,42,90.84,77.86,41.22,91.6,69.47
43,43,92.37,78.63,41.22,91.6,69.47
44,44,93.13,79.39,43.51,93.89,69.47
45,45,93.13,79.39,48.09,93.89,69.47
46,46,93.89,80.15,48.85,93.89,70.23
47,47,93.89,80.15,48.85,93.89,70.23
48,48,93.89,82.44,50.38,93.89,70.99
49,49,93.89,83.97,53.44,93.89,71.76
50,50,93.89,84.73,54.2,93.89,72.52
51,51,93.89,84.73,54.2,93.89,72.52
52,52,93.89,85.5,54.96,95.42,73.28
53,53,94.66,86.26,54.96,,73.28
54,54,,87.02,56.49,,74.05
55,55,,87.79,56.49,,75.57
56,56,,89.31,58.02,,76.34
57,57,,89.31,58.02,,76.34
58,58,,89.31,58.02,,76.34
59,59,,89.31,58.02,,77.1
60,60,,89.31,58.02,,77.1
61,61,,90.84,59.54,,77.86
62,62,,91.6,60.31,,79.39
63,63,,91.6,61.83,,79.39
64,64,,91.6,61.83,,79.39
65,65,,91.6,62.6,,80.92
66,66,,91.6,64.89,,81.68
67,67,,91.6,67.18,,83.21
68,68,,92.37,67.94,,83.97
69,69,,92.37,68.7,,84.73
70,70,,92.37,70.99,,85.5
71,71,,93.13,73.28,,87.02
72,72,,94.66,74.81,,87.02
73,73,,94.66,74.81,,87.02
74,74,,94.66,74.81,,87.79
75,75,,94.66,75.57,,87.79
76,76,,,76.34,,88.55
77,77,,,76.34,,88.55
78,78,,,79.39,,89.31
79,79,,,80.92,,90.84
80,80,,,82.44,,92.37
81,81,,,83.97,,92.37
82,82,,,86.26,,93.89
83,83,,,87.02,,93.89
84,84,,,87.79,,94.66
85,85,,,88.55,,95.42
86,86,,,88.55,,
87,87,,,89.31,,
88,88,,,89.31,,
89,89,,,90.08,,
90,90,,,93.89,,
91,91,,,93.89,,
92,92,,,94.66,,
93,93,,,,,
94,94,,,,,
95,95,,,,,
96,96,,,,,
97,97,,,,,
98,98,,,,,
99,99,,,,,
100,100,,,,,
